#AOR	epoch	channel	RAtopL	DECtopL	RAbotL	DECbotL	RAbotR	DEbotR	RAtopR	DECtopR
34	2	2	353.603823324	1.08220754722	354.523704919	-0.904662690004	353.950547769	-1.16653084194	353.031357158	0.816443595722
35	1	1	354.277354697	1.16789239785	355.195413646	-0.821801775252	354.621007678	-1.08210614328	353.704342513	0.902909976711
35	1	2	354.327476857	1.06575136408	355.244804564	-0.922489518948	354.670745758	-1.18358823302	353.755235804	0.801085250292
35	2	1	354.224803196	1.18437683492	355.143902161	-0.80465791427	354.56959554	-1.06517127751	353.651732067	0.919113804728
35	2	2	354.275017568	1.08236173371	355.193251685	-0.905283687908	354.619474058	-1.16659466774	353.70259646	0.817280647347
36	1	1	354.950752318	1.16854662424	355.863308932	-0.823682922609	355.28801496	-1.08242071322	354.377054143	0.905042137933
36	1	2	355.000713163	1.06620622525	355.912338455	-0.92447123912	355.337610771	-1.1840963525	354.427572281	0.803094026997
36	2	1	354.898102016	1.18480360851	355.811687882	-0.806959735936	355.236614202	-1.0657709816	354.324381727	0.920934358763
36	2	2	354.948162646	1.08267509901	355.861073098	-0.908867588459	355.286192386	-1.1673356521	354.375031078	0.81914724476
37	1	1	355.624501843	1.16911810749	356.52999595	-0.8259627068	355.954247348	-1.08287066044	355.049586726	0.90747352049
37	1	2	355.674155444	1.06673294569	356.578804812	-0.926924288295	356.003403889	-1.18464545284	355.099808711	0.805468685963
37	2	1	355.571544402	1.18565440369	356.478068972	-0.809332353374	355.902996716	-1.06611143403	354.996457276	0.923570518679
37	2	2	355.621191857	1.08324460753	356.526872991	-0.910135303782	355.95222731	-1.16790201872	355.046832846	0.821589613825
38	1	1	356.296501776	1.16946293294	357.198399167	-0.827244553424	356.62249752	-1.08339555874	355.720914382	0.908894824825
38	1	2	356.345897435	1.06692681651	357.247031572	-0.92831940817	356.671550001	-1.18504522246	355.771022772	0.806829211529
38	2	1	356.244055527	1.18597236252	357.146414409	-0.810533126934	356.570800402	-1.0665024923	355.668667093	0.925357963909
38	2	2	356.293505126	1.08358110648	357.195022852	-0.911497150692	356.619754926	-1.16828416078	355.718754177	0.823196124916
39	1	1	356.968717569	1.16963767137	357.867663233	-0.828407790374	357.290778951	-1.08357879632	356.392887947	0.910008628863
39	1	2	357.017939081	1.06714541097	357.916087131	-0.929632269076	357.339630847	-1.18539575226	356.442894186	0.807821756714
39	2	1	356.916198493	1.18629454475	357.816020778	-0.811725857394	357.239289799	-1.06682335737	356.340583255	0.926584831387
39	2	2	356.965554379	1.083705264	357.86447857	-0.91273268175	357.288092016	-1.16864907598	356.390578691	0.824221283104
40	1	1	357.589070796	1.1867587304	358.483991502	-0.813453744805	357.906455734	-1.06714282298	357.012795549	0.928523403151
40	1	2	357.638026386	1.08412288102	358.532518891	-0.915600054201	357.955099769	-1.16918081491	357.062427122	0.826428002889
40	2	1	357.641287858	1.17009718496	358.535733574	-0.830141917466	357.958199944	-1.08384676183	357.064955088	0.912003514182
40	2	2	357.690319799	1.06736986674	358.584194876	-0.932257070458	358.006789431	-1.1858762109	357.114671475	0.809794164427
41	1	1	358.261114649	1.18710224293	359.152405375	-0.814731127914	358.574580865	-1.06734755491	357.684526342	0.929562694516
41	1	2	358.309908364	1.08434084172	359.200674406	-0.916857130372	358.622985996	-1.16940482287	357.733942195	0.827459345394
41	2	1	358.31335283	1.17041216946	359.204118309	-0.83128533137	358.626347935	-1.08403306945	357.736773632	0.91327419189
41	2	2	358.362071926	1.06764652937	359.252476362	-0.933528954064	358.674785915	-1.18607841425	357.786195482	0.810981849341
42	1	1	358.98627009	1.17090388482	359.872307367	-0.833086918718	359.293560119	-1.08442309274	358.409069965	0.915149535231
42	1	2	359.034925157	1.06796785561	359.920016935	-0.934643718533	359.34169595	-1.18658767384	358.458370473	0.812425666949
42	2	1	358.933981993	1.18750141379	359.820225115	-0.816399133721	359.241964025	-1.06759395756	358.356806323	0.931685787377
42	2	2	358.98265149	1.08458829019	359.86812793	-0.917853101795	359.290193599	-1.1698422146	358.406103603	0.829023102563
43	1	1	359.658664724	1.17137422756	0.540697206512	-0.834193497921	359.961955214	-1.08470146732	359.080886792	0.916930121196
43	1	2	359.707046904	1.0685619028	0.588216625226	-0.935771015055	0.0097500163709	-1.18695802691	359.129828764	0.814104572351
43	2	1	359.606465827	1.18789253696	0.48890761562	-0.817865148788	359.909964786	-1.06790189467	359.028815182	0.933145929949
43	2	2	359.654892132	1.0848449304	0.53647089435	-0.919309139465	359.957871977	-1.17017754299	359.077816445	0.830466516443
44	1	1	0.701110485162	-1.18512161427	359.789106505	0.807182293187	0.364129403229	1.06570409911	1.27491378806	-0.921840391379
